PLAYER,ROLE,INNS,NOT_OUTS,FIFTIES,CENTURIES,HIGH_SCORE,RUNS,AVG,STRIKERATE,CATCHOUTS,STUMPOUTS,OVERSBOWLED,MATCHESBOWLED,RUNS_GIVEN,WICKETS_TAKEN,FOURwickethauls,AVEGARE_BOWLING,SR,ER,CT,MAXCT,CTINNS
RG SHARMA,BATTER,67.00,5.00,18.00,10.00,159.00,3255.00,52.50,100.53,24.00,0.00,0.50,0.00,7.00,1.00,0.00,7.00,5.00,8.40,93.00,3.00,0.36
V KOHLI,BATTER,72.00,7.00,24.00,12.00,166.00,3616.00,55.63,95.64,48.00,0.00,3.30,0.00,15.00,1.00,0.00,15.00,21.00,4.29,151.00,3.00,0.52
SHUBMANGILL,BATTER,44.00,7.00,13.00,6.00,208.00,2271.00,61.38,103.46,30.00,0.00,2.00,0.00,11.00,0.00,0.00,0.00,99.99,5.50,30.00,2.00,0.71
B KUMAR,BOWLER,11.00,2.00,0.00,0.00,46.00,112.00,12.44,75.17,6.00,0.00,625.00,30.00,3341.00,97.00,4.00,20.44,24.67,5.01,29.00,2.00,0.24
JJ BUMRAH,BOWLER,20.00,12.00,0.00,0.00,16.00,80.00,10.00,64.00,3.00,0.00,394.40,31.00,1870.00,71.00,3.00,26.34,33.35,4.74,18.00,2.00,0.20
MOHAMMED SHAMI,BOWLER,24.00,7.00,0.00,0.00,23.00,104.00,6.12,79.39,15.00,0.00,390.00,22.00,2169.00,101.00,9.00,21.48,23.17,5.56,31.00,2.00,0.31
KULDEEP YADAV,BOWLER,25.00,9.00,0.00,0.00,17.00,130.00,8.13,54.62,12.00,0.00,580.50,20.00,3025.00,101.00,6.00,29.95,34.50,5.21,15.00,1.00,0.15
ISHAN KISHAN,WICKETKEEPR,24.00,2.00,7.00,1.00,210.00,933.00,42.41,102.19,13.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SS IYER,BATTER,49.00,6.00,16.00,5.00,128.00,2173.00,50.53,101.78,21.00,0.00,5.10,0.00,37.00,0.00,0.00,0.00,99.99,7.16,24.00,2.00,0.42
KL RAHUL,WICKETKEEPER,58.00,11.00,16.00,6.00,112.00,2503.00,53.26,88.82,56.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,2.00,0.28
RA JADEJA ,ALL ROUNDER,35.00,14.00,3.00,0.00,77.00,774.00,36.86,84.96,23.00,0.00,415.50,8.00,2031.00,51.00,1.00,39.82,48.92,4.88,74.00,3.00,0.38
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
